Date,Unemployment rate (%)
Mar-03,6.1
Apr-03,6
May-03,6.1
Jun-03,6.1
Jul-03,6.1
Aug-03,5.8
Sep-03,5.8
Oct-03,5.8
Nov-03,5.7
Dec-03,5.7
Jan-04,5.5
Feb-04,5.6
Mar-04,5.4
Apr-04,5.5
May-04,5.3
Jun-04,5.5
Jul-04,5.5
Aug-04,5.5
Sep-04,5.4
Oct-04,5.1
Nov-04,5.2
Dec-04,5.1
Jan-05,5.1
Feb-05,5.1
Mar-05,5.2
Apr-05,5.1
May-05,5.1
Jun-05,4.9
Jul-05,5
Aug-05,4.9
Sep-05,5
Oct-05,5
Nov-05,4.9
Dec-05,5.1
Jan-06,5.2
Feb-06,5.1
Mar-06,4.9
Apr-06,5
May-06,4.8
Jun-06,4.8
Jul-06,4.7
Aug-06,4.7
Sep-06,4.7
Oct-06,4.5
Nov-06,4.5
Dec-06,4.6
Jan-07,4.6
Feb-07,4.6
Mar-07,4.5
Apr-07,4.4
May-07,4.3
Jun-07,4.3
Jul-07,4.3
Aug-07,4.3
Sep-07,4.2
Oct-07,4.3
Nov-07,4.4
Dec-07,4.3
Jan-08,4.2
Feb-08,4
Mar-08,4.1
Apr-08,4.3
May-08,4.3
Jun-08,4.2
Jul-08,4.2
Aug-08,4
Sep-08,4.3
Oct-08,4.3
Nov-08,4.5
Dec-08,4.6
Jan-09,4.9
Feb-09,5.3
Mar-09,5.7
Apr-09,5.5
May-09,5.8
Jun-09,5.9
Jul-09,5.7
Aug-09,5.7
Sep-09,5.7
Oct-09,5.6
Nov-09,5.6
Dec-09,5.5
Jan-10,5.3
Feb-10,5.3
Mar-10,5.4
Apr-10,5.5
May-10,5.2
Jun-10,5.1
Jul-10,5.3
Aug-10,5
Sep-10,5.1
Oct-10,5.3
Nov-10,5.1
Dec-10,4.9
Jan-11,5
Feb-11,5
Mar-11,4.9
Apr-11,5
May-11,5
Jun-11,4.9
Jul-11,5.1
Aug-11,5.3
Sep-11,5.2
Oct-11,5.2
Nov-11,5.2
Dec-11,5.2
Jan-12,5
Feb-12,5.2
Mar-12,5.2
Apr-12,5
May-12,5.2
Jun-12,5.2
Jul-12,5.2
Aug-12,5.2
Sep-12,5.5
Oct-12,5.4
Nov-12,5.3
Dec-12,5.4
Jan-13,5.4
Feb-13,5.4
Mar-13,5.6
Apr-13,5.6
May-13,5.6
Jun-13,5.7
Jul-13,5.6
Aug-13,5.8
Sep-13,5.7
Oct-13,5.8
Nov-13,5.8
Dec-13,5.9
Jan-14,5.9
Feb-14,5.9
Mar-14,5.9
Apr-14,5.8
May-14,5.9
Jun-14,6
Jul-14,6.2
Aug-14,6.1
Sep-14,6.2
Oct-14,6.4
Nov-14,6.3
Dec-14,6.1
Jan-15,6.3
Feb-15,6.1
Mar-15,6.1
Apr-15,6.1
May-15,5.9
Jun-15,6
Jul-15,6.3
Aug-15,6.1
Sep-15,6.2
Oct-15,5.9
Nov-15,5.9
Dec-15,5.7
Jan-16,6
Feb-16,5.7
Mar-16,5.6
Apr-16,5.6
May-16,5.7
Jun-16,5.7
Jul-16,5.7
Aug-16,5.6
Sep-16,5.7
Oct-16,5.6
Nov-16,5.8
Dec-16,5.8
Jan-17,5.7
Feb-17,5.8
Mar-17,5.8
Apr-17,5.6
May-17,5.5
Jun-17,5.6
Jul-17,5.6
Aug-17,5.5
Sep-17,5.5
Oct-17,5.4
Nov-17,5.4
Dec-17,5.6
Jan-18,5.5
Feb-18,5.6
Mar-18,5.5
Apr-18,5.5
May-18,5.4
Jun-18,5.3
Jul-18,5.3
Aug-18,5.3
Sep-18,5
Oct-18,5
Nov-18,5.1
Dec-18,5
Jan-19,5.1
Feb-19,5
Mar-19,5.1
Apr-19,5.2
May-19,5.2
Jun-19,5.3
Jul-19,5.3
Aug-19,5.3
Sep-19,5.2
Oct-19,5.3
Nov-19,5.2
Dec-19,5.1
Jan-20,5.3
Feb-20,5.1
Mar-20,5.2
Apr-20,6.3
May-20,7
Jun-20,7.4
Jul-20,7.5
Aug-20,6.8
Sep-20,6.9
Oct-20,7
Nov-20,6.8
Dec-20,6.6
Jan-21,6.3
Feb-21,5.8
Mar-21,5.6
Apr-21,5.4
May-21,5.1
Jun-21,5
Jul-21,4.7
Aug-21,4.6
Sep-21,4.7
Oct-21,5.2
Nov-21,4.6
Dec-21,4.2
Jan-22,4.2
Feb-22,4
Mar-22,3.9
Apr-22,3.9
May-22,3.9
Jun-22,3.6
Jul-22,3.5
Aug-22,3.5
Sep-22,3.6
Oct-22,3.4
Nov-22,3.5
Dec-22,3.5
Jan-23,3.7
Feb-23,3.5
Mar-23,3.5